filename,ID,average distance from center,average speed,frames tracked in video
bumblebox-01_2023-10-12_18-07-41,1,501.0,1.0,9
bumblebox-01_2023-10-12_18-07-41,4,805.0,,1
bumblebox-01_2023-10-12_18-07-41,6,356.0,21.0,8
bumblebox-01_2023-10-12_18-07-41,7,482.0,4.0,3
bumblebox-01_2023-10-12_18-07-41,12,391.0,1.0,9
bumblebox-01_2023-10-12_18-07-41,13,668.0,61.0,8
bumblebox-01_2023-10-12_18-11-15,1,710.0,0.0,9
bumblebox-01_2023-10-12_18-11-15,6,899.0,38.0,8
bumblebox-01_2023-10-12_18-11-15,7,404.0,1.0,8
bumblebox-01_2023-10-12_18-11-15,12,557.0,1.0,9
bumblebox-01_2023-10-12_18-11-15,13,575.0,0.0,9
bumblebox-01_2023-10-12_18-11-15,14,371.0,1.0,9
bumblebox-01_2023-10-12_18-17-58,1,213.0,0.0,6
bumblebox-01_2023-10-12_18-17-58,4,561.0,31.0,8
bumblebox-01_2023-10-12_18-17-58,6,937.0,12.0,5
bumblebox-01_2023-10-12_18-17-58,7,359.0,,1
bumblebox-01_2023-10-12_18-17-58,12,462.0,52.0,8
bumblebox-01_2023-10-12_18-17-58,13,617.0,0.0,9
bumblebox-01_2023-10-12_18-17-58,14,135.0,26.0,8
bumblebox-01_2023-10-12_18-18-54,1,349.0,0.0,9
bumblebox-01_2023-10-12_18-18-54,2,698.0,,1
bumblebox-01_2023-10-12_18-18-54,4,746.0,6.0,8
bumblebox-01_2023-10-12_18-18-54,6,743.0,39.0,3
bumblebox-01_2023-10-12_18-18-54,12,372.0,,1
bumblebox-01_2023-10-12_18-18-54,13,788.0,2.0,9
bumblebox-01_2023-10-12_18-18-54,14,236.0,,1
bumblebox-01_2023-10-12_18-20-01,1,427.0,0.0,9
bumblebox-01_2023-10-12_18-20-01,4,540.0,7.0,9
bumblebox-01_2023-10-12_18-20-01,6,496.0,6.0,5
bumblebox-01_2023-10-12_18-20-01,13,868.0,0.0,9
bumblebox-01_2023-10-12_18-20-01,14,208.0,3.0,9
bumblebox-01_2023-10-13_15-04-28,1,1002.0,12.0,7
bumblebox-01_2023-10-13_15-04-28,2,330.0,69.0,6
bumblebox-01_2023-10-13_15-04-28,4,645.0,349.0,9
bumblebox-01_2023-10-13_15-04-28,7,276.0,9.0,9
bumblebox-01_2023-10-13_15-04-28,13,446.0,34.0,7
bumblebox-01_2023-10-13_17-25-49,1,521.0,10.0,6
bumblebox-01_2023-10-13_17-25-49,4,1097.0,396.0,9
bumblebox-01_2023-10-13_17-25-49,6,578.0,17.0,6
bumblebox-01_2023-10-13_17-25-49,13,616.0,9.0,9
bumblebox-01_2023-10-13_17-56-47,1,922.0,12.0,9
bumblebox-01_2023-10-13_17-56-47,4,615.0,293.0,9
bumblebox-01_2023-10-13_17-56-47,6,1370.0,215.0,5
bumblebox-01_2023-10-13_18-15-54,1,464.0,1.0,9
bumblebox-01_2023-10-13_18-15-54,3,535.0,,1
bumblebox-01_2023-10-13_18-15-54,4,624.0,333.0,9
bumblebox-01_2023-10-13_18-15-54,6,457.0,283.0,8
bumblebox-01_2023-10-13_18-27-01,1,613.0,45.0,9
bumblebox-01_2023-10-13_18-27-01,3,365.0,,1
bumblebox-01_2023-10-13_18-27-01,4,639.0,,2
bumblebox-01_2023-10-13_18-27-01,6,1121.0,353.0,6
bumblebox-01_2023-10-13_18-27-01,7,362.0,63.0,5
bumblebox-01_2023-10-13_18-27-01,13,449.0,36.0,9
bumblebox-01_2023-10-13_18-27-01,14,267.0,39.0,5
